NU_ANO_CENSO;NO_REGIAO_IES;CO_REGIAO_IES;NO_UF_IES;SG_UF_IES;CO_UF_IES;NO_MUNICIPIO_IES;CO_MUNICIPIO_IES;IN_CAPITAL_IES;NO_MESORREGIAO_IES;CO_MESORREGIAO_IES;NO_MICRORREGIAO_IES;CO_MICRORREGIAO_IES;TP_ORGANIZACAO_ACADEMICA;TP_CATEGORIA_ADMINISTRATIVA;NO_MANTENEDORA;CO_MANTENEDORA;NO_IES;SG_IES;CO_IES;DS_ENDERECO_IES;DS_NUMERO_ENDERECO_IES;DS_COMPLEMENTO_ENDERECO_IES;NO_BAIRRO_IES;NU_CEP_IES;QT_TEC_TOTAL;QT_TEC_FUNDAMENTAL_INCOMP_FEM;QT_TEC_FUNDAMENTAL_INCOMP_MASC;QT_TEC_FUNDAMENTAL_COMP_FEM;QT_TEC_FUNDAMENTAL_COMP_MASC;QT_TEC_MEDIO_FEM;QT_TEC_MEDIO_MASC;QT_TEC_SUPERIOR_FEM;QT_TEC_SUPERIOR_MASC;QT_TEC_ESPECIALIZACAO_FEM;QT_TEC_ESPECIALIZACAO_MASC;QT_TEC_MESTRADO_FEM;QT_TEC_MESTRADO_MASC;QT_TEC_DOUTORADO_FEM;QT_TEC_DOUTORADO_MASC;IN_ACESSO_PORTAL_CAPES;IN_ACESSO_OUTRAS_BASES;IN_ASSINA_OUTRA_BASE;IN_REPOSITORIO_INSTITUCIONAL;IN_BUSCA_INTEGRADA;IN_SERVICO_INTERNET;IN_PARTICIPA_REDE_SOCIAL;IN_CATALOGO_ONLINE;QT_PERIODICO_ELETRONICO;QT_LIVRO_ELETRONICO;QT_DOCENTE_TOTAL;QT_DOCENTE_EXE;DOC_EX_FEMI;DOC_EX_MASC;DOC_EX_SEM_GRAD;DOC_EX_GRAD;DOC_EX_ESP;DOC_EX_MEST;DOC_EX_DOUT;DOC_EX_INT;DOC_EX_INT_DE;DOC_EX_INT_SEM_DE;DOC_EX_PARC;DOC_EX_HOR;DOC_EX_0_29;DOC_EX_30_34;DOC_EX_35_39;DOC_EX_40_44;DOC_EX_45_49;DOC_EX_50_54;DOC_EX_55_59;DOC_EX_60_MAIS;DOC_EX_BRANCA;DOC_EX_PRETA;DOC_EX_PARDA;DOC_EX_AMARELA;DOC_EX_INDÍGENA;DOC_EX_COR_ND;DOC_EX_BRA;DOC_EX_EST;DOC_EX_COM_DEFICIÊNCIA
2020;Norte;1;Rondônia;RO;11;Ariquemes;1100023;0;Leste Rondoniense;2;Ariquemes;3;3;5;FUNDACAO ASSISTENCIAL E EDUCATIVA CRISTA DE ARIQUEMES;1012;INSTITUTO DE ENSINO SUPERIOR DE RONDÔNIA;IESUR;1540;Avenida Capitão Sílvio;2738;- de 2640 a 2760 - lado par;Grandes Áreas;76876696;36;0;0;0;0;11;0;3;1;6;4;4;3;3;1;0;0;0;0;1;1;1;1;6;21000;54;54;29;25;0;0;23;26;5;16;14;2;30;8;5;6;8;12;6;8;7;2;18;1;8;0;0;27;54;0;0
2020;Norte;1;Rondônia;RO;11;Ariquemes;1100023;0;Leste Rondoniense;2;Ariquemes;3;3;4;UNIDAS SOCIEDADE DE EDUCACAO E CULTURA LTDA;2930;FACULDADE DE EDUCAÇÃO E MEIO AMBIENTE;FAEMA;4613;Avenida Machadinho;4.349;-;Área de Expansão Urbana;76873630;58;2;0;0;0;11;16;10;5;8;6;0;0;0;0;0;0;1;1;1;1;1;1;1050;12345;69;69;41;28;0;0;22;40;7;36;0;36;33;0;17;21;10;6;5;1;6;3;45;5;17;2;0;0;67;2;0
2020;Norte;1;Rondônia;RO;11;Cacoal;1100049;0;Leste Rondoniense;2;Cacoal;6;2;4;SOCIEDADE REGIONAL DE EDUCACAO E CULTURA LTDA;1262;Centro Universitário Unifacimed;UNIFACIMED;1917;Avenida Cuiabá;3087;- de 2945 a 3205 - lado ímpar;Jardim Clodoaldo;76963665;119;0;1;6;9;33;24;27;9;4;2;1;1;2;0;1;0;1;1;0;1;0;1;12000;10672;152;152;80;72;0;0;21;90;41;72;0;72;39;41;6;36;30;37;21;8;5;9;114;2;31;2;0;3;152;0;0
2020;Norte;1;Rondônia;RO;11;Cacoal;1100049;0;Leste Rondoniense;2;Cacoal;6;3;4;SOCIEDADE EDUCACIONAL DE RONDONIA S/S LTDA;525;FACULDADES INTEGRADAS DE CACOAL;UNESC;4255;Rua dos Esportes;1038;-;Incra;76965864;35;2;3;2;2;4;4;7;7;2;2;0;0;0;0;0;0;1;1;1;1;1;1;10150;8000;39;39;18;21;0;0;17;20;2;14;0;14;9;16;5;6;9;8;5;5;0;1;30;1;4;0;0;4;39;0;0
2020;Norte;1;Rondônia;RO;11;Cacoal;1100049;0;Leste Rondoniense;2;Cacoal;6;3;4;UNIDADE DE ENSINO SUPERIOR DE CACOAL ''PS'' LTDA - ME;12705;INSTITUIÇÃO DE ENSINO SUPERIOR DE CACOAL;FANORTE CACOAL;13792;Rua Anísio Serrão;2325;- de 2170/2171 a 2518/2519;Centro;76963728;16;0;0;0;0;5;6;0;1;1;1;2;0;0;0;0;0;1;0;1;1;0;0;0;2460;39;39;20;19;0;0;24;11;4;5;0;5;15;19;6;17;8;6;1;0;1;0;14;0;7;0;0;18;39;0;0
2020;Norte;1;Rondônia;RO;11;Jaru;1100114;0;Leste Rondoniense;2;Ji-Paraná;4;3;5;SOCIEDADE RONDONIENSE DE ENSINO SUPERIOR DR. APARICIO CARVALHO DE MORAES LTDA;1121;FACULDADE DE EDUCAÇÃO DE JARU;UNICENTRO;1699;Avenida Vereador Otaviano Pereira Neto;S/N;Gleba 53A;Setor 02;76890000;17;3;0;2;2;3;2;0;0;3;2;0;0;0;0;0;0;1;0;1;1;0;1;0;10474;30;30;15;15;0;0;19;7;4;8;0;8;22;0;7;4;9;4;1;2;3;0;18;1;9;1;0;1;30;0;0
2020;Norte;1;Rondônia;RO;11;Ji-Paraná;1100122;0;Leste Rondoniense;2;Ji-Paraná;4;2;4;CENTRO DE ENSINO SAO LUCAS LTDA;938;Centro Universitário São Lucas Ji-Paraná;UniSL;450;Avenida Engenheiro Manfredo Barata Almeida da Fonseca;542;-;Jardim Aurélio Bernardi;76907524;104;0;2;4;5;37;27;14;8;5;1;1;0;0;0;0;0;1;1;1;1;1;1;18391;11418;100;100;51;49;0;0;56;35;9;20;0;20;63;17;16;18;23;10;12;10;7;4;58;6;12;1;0;23;98;2;0
2020;Norte;1;Rondônia;RO;11;Ji-Paraná;1100122;0;Leste Rondoniense;2;Ji-Paraná;4;3;4;UNIJIPA - UNIAO DAS ESCOLAS SUPERIORES DE JI-PARANA LTDA;2786;Faculdade Estácio Unijipa de Ji-Paraná;;4411;Rodovia 135 KM 1;-;Estrada Nova Londrina;Zona Rural;76900202;58;0;0;1;1;8;5;9;5;10;8;7;3;1;0;1;0;0;0;1;1;0;1;0;15000;51;51;23;28;0;0;20;23;8;13;0;13;17;21;7;15;7;11;4;4;2;1;19;3;8;1;0;20;50;1;0
2020;Norte;1;Rondônia;RO;11;Ji-Paraná;1100122;0;Leste Rondoniense;2;Ji-Paraná;4;3;4;SOCIEDADE EDUCACIONAL DE RONDONIA S/S LTDA;525;FACULDADE DE EDUCAÇÃO E CULTURA DE JI-PARANÁ;FAJIPA;11748;Rua Missionário Gunnar Vingren;-;- até 1510/1511;Nova Brasília;76908326;9;0;0;0;0;2;1;2;1;0;1;2;0;0;0;1;0;1;1;1;1;0;0;19404;100;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0
2020;Norte;1;Rondônia;RO;11;Ouro Preto do Oeste;1100155;0;Leste Rondoniense;2;Ji-Paraná;4;3;5;ESCOLAS UNIDAS DE OURO PRETO DO OESTE - UNEOURO;1491;FACULDADE DE INFORMÁTICA DE OURO PRETO DO OESTE;FIOURO;2779;Rua Marechal Castelo Branco;184;-;Incra;76920970;8;0;0;0;0;4;0;0;1;2;1;0;0;0;0;1;0;0;1;1;1;0;1;151;2;26;26;13;13;0;0;15;10;1;14;1;13;12;0;3;8;5;1;4;2;2;1;15;0;7;0;0;4;26;0;0
